term,docket,usCite,caseTitle,dateArgument,dateRearg,audioExists,advocatesPetitioner,advocatesRespondent,advocatesOther,dateDecision,caseLink
1978,"77-1571","440 U.S. 648","Delaware v. Prouse","1979-01-17","",true,"charles_oberly","david_lukoff","","1979-03-27","https://www.oyez.org/cases/1978/77-1571"
1978,"77-1686","440 U.S. 668","Leo Sheep Company v. United States","1979-01-15,1979-01-16","",true,"clyde_martz","","sara_beale","1979-03-27","https://www.oyez.org/cases/1978/77-1686"
1978,"77-1575","440 U.S. 689","Federal Communications Commission v. Midwest Video Corporation","1979-01-10","",true,"lawrence_wallace","","george_shapiro","1979-04-02","https://www.oyez.org/cases/1978/77-1575"
1978,"77-1359","440 U.S. 715","United States v. Kimbell Foods, Inc.","1979-01-08","",true,"","","howell_hollis,stephen_barnett,vernon_teofan","1979-04-02","https://www.oyez.org/cases/1978/77-1359"
1978,"76-1309","440 U.S. 741","United States v. Caceres","1979-01-08,1979-01-09","",true,"","james_brosnahan","kenneth_geller","1979-04-02","https://www.oyez.org/cases/1978/76-1309"
1978,"77-1578","441 U.S. 1","Broadcast Music, Inc. v. Columbia Broadcasting System, Inc.","1979-01-15","",true,"amalya_kearse,jay_topkis","alan_hruska","frank_easterbrook","1979-04-17","https://www.oyez.org/cases/1978/77-1578"
1978,"77-874","441 U.S. 39","Alexander v. United States Department of Housing and Urban Development","1978-12-05","",true,"john_vanderstar,william_bryson","","","1979-04-17","https://www.oyez.org/cases/1978/77-874"
1978,"76-808","441 U.S. 68","Ambach v. Norwick","1979-01-10","",true,"judith_gordon","bruce_ennis","","1979-04-17","https://www.oyez.org/cases/1978/76-808"
1978,"77-1493","441 U.S. 91","Gladstone, Realtors v. Village of Bellwood","1978-11-29","",true,"jonathan_howe","willis_caruso","lawrence_wallace","1979-04-17","https://www.oyez.org/cases/1978/77-1493"
1978,"78-90","441 U.S. 130","Burch v. Louisiana","1979-02-22","",true,"jack_peebles","louise_korns","","1979-04-17","https://www.oyez.org/cases/1978/78-90"
1978,"77-1810","441 U.S. 141","Arizona Public Service Company v. Snead","1979-02-26","",true,"daniel_mcauliffe","","jan_unna","1979-04-18","https://www.oyez.org/cases/1978/77-1810"
